Date,TATASTEEL.NS
2024-03-12 00:00:00+05:30,146.08145141601562
2024-03-13 00:00:00+05:30,137.6039276123047
2024-03-14 00:00:00+05:30,136.45443725585938
2024-03-15 00:00:00+05:30,135.7360076904297
2024-03-18 00:00:00+05:30,143.3992919921875
2024-03-19 00:00:00+05:30,142.48928833007812
2024-03-20 00:00:00+05:30,139.51976013183594
2024-03-21 00:00:00+05:30,143.78245544433594
2024-03-22 00:00:00+05:30,145.41091918945312
2024-03-26 00:00:00+05:30,145.9856414794922
2024-03-27 00:00:00+05:30,146.2730255126953
2024-03-28 00:00:00+05:30,149.29046630859375
2024-04-01 00:00:00+05:30,156.28318786621094
2024-04-02 00:00:00+05:30,157.72006225585938
2024-04-03 00:00:00+05:30,156.76214599609375
2024-04-04 00:00:00+05:30,156.52267456054688
2024-04-05 00:00:00+05:30,156.4747772216797
2024-04-08 00:00:00+05:30,158.24691772460938
2024-04-09 00:00:00+05:30,159.0132598876953
2024-04-10 00:00:00+05:30,158.10324096679688
2024-04-12 00:00:00+05:30,156.61846923828125
2024-04-15 00:00:00+05:30,154.0800018310547
2024-04-16 00:00:00+05:30,153.3136749267578
2024-04-18 00:00:00+05:30,153.3136749267578
2024-04-19 00:00:00+05:30,155.2773895263672
2024-04-22 00:00:00+05:30,155.03793334960938
2024-04-23 00:00:00+05:30,154.36737060546875
2024-04-24 00:00:00+05:30,158.5821990966797
2024-04-25 00:00:00+05:30,160.64169311523438
2024-04-26 00:00:00+05:30,158.82167053222656
2024-04-29 00:00:00+05:30,160.3543243408203
2024-04-30 00:00:00+05:30,158.05532836914062
2024-05-02 00:00:00+05:30,160.30642700195312
2024-05-03 00:00:00+05:30,159.49220275878906
2024-05-06 00:00:00+05:30,160.54591369628906
2024-05-07 00:00:00+05:30,157.33689880371094
2024-05-08 00:00:00+05:30,159.06114196777344
2024-05-09 00:00:00+05:30,155.08580017089844
2024-05-10 00:00:00+05:30,155.42108154296875
2024-05-13 00:00:00+05:30,156.95375061035156
2024-05-14 00:00:00+05:30,158.0074462890625
2024-05-15 00:00:00+05:30,158.63009643554688
2024-05-16 00:00:00+05:30,158.91744995117188
2024-05-17 00:00:00+05:30,160.30642700195312
2024-05-21 00:00:00+05:30,167.01181030273438
2024-05-22 00:00:00+05:30,166.00599670410156
2024-05-23 00:00:00+05:30,168.1134033203125
2024-05-24 00:00:00+05:30,167.4907684326172
2024-05-27 00:00:00+05:30,168.1134033203125
2024-05-28 00:00:00+05:30,167.5386505126953
2024-05-29 00:00:00+05:30,166.916015625
2024-05-30 00:00:00+05:30,157.24111938476562
2024-05-31 00:00:00+05:30,160.16273498535156
2024-06-03 00:00:00+05:30,166.916015625
2024-06-04 00:00:00+05:30,152.25997924804688
2024-06-05 00:00:00+05:30,162.07855224609375
2024-06-06 00:00:00+05:30,164.80860900878906
2024-06-07 00:00:00+05:30,171.3702850341797
