date,price
2025-11-24 00:00:00-05:00,318.3717346191406
2025-11-25 00:00:00-05:00,323.22857666015625
2025-11-26 00:00:00-05:00,319.7408752441406
2025-11-28 00:00:00-05:00,319.970703125
2025-12-01 00:00:00-05:00,314.6841735839844
2025-12-02 00:00:00-05:00,315.6035461425781
2025-12-03 00:00:00-05:00,319.42108154296875
2025-12-04 00:00:00-05:00,317.4123840332031
2025-12-05 00:00:00-05:00,321.0599670410156
2025-12-08 00:00:00-05:00,313.7200012207031
2025-12-09 00:00:00-05:00,317.0799865722656
2025-12-10 00:00:00-05:00,320.2099914550781
2025-12-11 00:00:00-05:00,312.42999267578125
2025-12-12 00:00:00-05:00,309.2900085449219
2025-12-15 00:00:00-05:00,308.2200012207031
2025-12-16 00:00:00-05:00,306.57000732421875
2025-12-17 00:00:00-05:00,296.7200012207031
2025-12-18 00:00:00-05:00,302.4599914550781
2025-12-19 00:00:00-05:00,307.1600036621094
2025-12-22 00:00:00-05:00,309.7799987792969
2025-12-23 00:00:00-05:00,314.3500061035156
2025-12-24 00:00:00-05:00,314.0899963378906
2025-12-26 00:00:00-05:00,313.510009765625
2025-12-29 00:00:00-05:00,313.55999755859375
2025-12-30 00:00:00-05:00,313.8500061035156
2025-12-31 00:00:00-05:00,313.0
2026-01-02 00:00:00-05:00,315.1499938964844
2026-01-05 00:00:00-05:00,316.5400085449219
2026-01-06 00:00:00-05:00,314.3399963378906
2026-01-07 00:00:00-05:00,321.9800109863281
2026-01-08 00:00:00-05:00,325.44000244140625
2026-01-09 00:00:00-05:00,328.57000732421875
2026-01-12 00:00:00-05:00,331.8599853515625
2026-01-13 00:00:00-05:00,335.9700012207031
2026-01-14 00:00:00-05:00,335.8399963378906
2026-01-15 00:00:00-05:00,332.7799987792969
2026-01-16 00:00:00-05:00,330.0
2026-01-20 00:00:00-05:00,322.0
2026-01-21 00:00:00-05:00,328.3800048828125
2026-01-22 00:00:00-05:00,330.5400085449219
2026-01-23 00:00:00-05:00,327.92999267578125
2026-01-26 00:00:00-05:00,333.260009765625
2026-01-27 00:00:00-05:00,334.54998779296875
2026-01-28 00:00:00-05:00,336.010009765625
2026-01-29 00:00:00-05:00,338.25
2026-01-30 00:00:00-05:00,338.0
2026-02-02 00:00:00-05:00,343.69000244140625
2026-02-03 00:00:00-05:00,339.7099914550781
2026-02-04 00:00:00-05:00,333.0400085449219
2026-02-05 00:00:00-05:00,331.25
2026-02-06 00:00:00-05:00,322.8599853515625
2026-02-09 00:00:00-05:00,324.32000732421875
2026-02-10 00:00:00-05:00,318.5799865722656
2026-02-11 00:00:00-05:00,310.9599914550781
2026-02-12 00:00:00-05:00,309.0
2026-02-13 00:00:00-05:00,305.7200012207031
2026-02-17 00:00:00-05:00,302.0199890136719
2026-02-18 00:00:00-05:00,303.3299865722656
2026-02-19 00:00:00-05:00,302.8500061035156
2026-02-20 00:00:00-05:00,314.9800109863281
