date,price
2025-11-27 00:00:00+05:30,1566.4000244140625
2025-11-28 00:00:00+05:30,1560.0999755859375
2025-12-01 00:00:00+05:30,1564.0
2025-12-02 00:00:00+05:30,1561.0
2025-12-03 00:00:00+05:30,1578.699951171875
2025-12-04 00:00:00+05:30,1597.5999755859375
2025-12-05 00:00:00+05:30,1616.199951171875
2025-12-08 00:00:00+05:30,1610.800048828125
2025-12-09 00:00:00+05:30,1599.0
2025-12-10 00:00:00+05:30,1584.800048828125
2025-12-11 00:00:00+05:30,1598.0
2025-12-12 00:00:00+05:30,1598.199951171875
2025-12-15 00:00:00+05:30,1606.800048828125
2025-12-16 00:00:00+05:30,1592.9000244140625
2025-12-17 00:00:00+05:30,1602.0
2025-12-18 00:00:00+05:30,1626.800048828125
2025-12-19 00:00:00+05:30,1638.699951171875
2025-12-22 00:00:00+05:30,1689.5999755859375
2025-12-23 00:00:00+05:30,1668.300048828125
2025-12-24 00:00:00+05:30,1663.4000244140625
2025-12-26 00:00:00+05:30,1656.0999755859375
2025-12-29 00:00:00+05:30,1644.699951171875
2025-12-30 00:00:00+05:30,1621.5999755859375
2025-12-31 00:00:00+05:30,1615.4000244140625
2026-01-01 00:00:00+05:30,1629.800048828125
2026-01-02 00:00:00+05:30,1640.4000244140625
2026-01-05 00:00:00+05:30,1606.4000244140625
2026-01-06 00:00:00+05:30,1612.199951171875
2026-01-07 00:00:00+05:30,1639.0
2026-01-08 00:00:00+05:30,1613.300048828125
2026-01-09 00:00:00+05:30,1614.0999755859375
2026-01-12 00:00:00+05:30,1595.9000244140625
2026-01-13 00:00:00+05:30,1599.0
2026-01-14 00:00:00+05:30,1599.800048828125
2026-01-15 00:00:00+05:30,1599.800048828125
2026-01-16 00:00:00+05:30,1689.800048828125
2026-01-19 00:00:00+05:30,1681.199951171875
2026-01-20 00:00:00+05:30,1658.9000244140625
2026-01-21 00:00:00+05:30,1654.4000244140625
2026-01-22 00:00:00+05:30,1663.5
2026-01-23 00:00:00+05:30,1670.800048828125
2026-01-27 00:00:00+05:30,1682.699951171875
2026-01-28 00:00:00+05:30,1666.5
2026-01-29 00:00:00+05:30,1659.5
2026-01-30 00:00:00+05:30,1641.0
2026-02-02 00:00:00+05:30,1629.4000244140625
2026-02-03 00:00:00+05:30,1656.0
2026-02-04 00:00:00+05:30,1535.800048828125
2026-02-05 00:00:00+05:30,1520.199951171875
2026-02-06 00:00:00+05:30,1507.0999755859375
2026-02-09 00:00:00+05:30,1497.199951171875
2026-02-10 00:00:00+05:30,1497.800048828125
2026-02-11 00:00:00+05:30,1471.9000244140625
2026-02-12 00:00:00+05:30,1386.0
2026-02-13 00:00:00+05:30,1369.0999755859375
2026-02-16 00:00:00+05:30,1365.5999755859375
2026-02-17 00:00:00+05:30,1391.199951171875
2026-02-18 00:00:00+05:30,1373.699951171875
2026-02-19 00:00:00+05:30,1370.5
2026-02-20 00:00:00+05:30,1353.199951171875
